entry_signal_date,entry_exec_date,entry_price,exit_signal_date,exit_exec_date,exit_price,shares,pnl,pct_return,log_return,holding_days
2020-01-04,2020-01-05,7358.75,2020-01-05,2020-01-06,7758.0,1,399.25,0.05425513844063201,0.05283448765744147,2
2020-01-06,2020-01-07,8145.28,2020-01-10,2020-01-11,8020.01,1,-125.26999999999953,-0.015379459024121855,-0.015498949621051677,5
2020-01-12,2020-01-13,8110.34,2020-01-21,2020-01-22,8682.36,1,572.0200000000004,0.07052971885272385,0.06815359031823025,10
2020-01-22,2020-01-23,8404.52,2020-01-23,2020-01-24,8439.0,1,34.47999999999956,0.0041025543398076625,0.004094161809795407,2
2020-01-27,2020-01-28,9374.21,2020-01-31,2020-02-01,9384.61,1,10.400000000001455,0.0011094268210336544,0.0011088118618907924,5
2020-02-03,2020-02-04,9197.02,2020-02-06,2020-02-07,9813.73,1,616.7099999999991,0.06705541577597951,0.06490290703094789,4
2020-02-07,2020-02-08,9895.05,2020-02-15,2020-02-16,9917.27,1,22.220000000001164,0.002245567228058576,0.0022430497101035,9
2020-02-25,2020-02-26,8785.25,2020-02-28,2020-02-29,8523.61,1,-261.6399999999994,-0.029781736433226125,-0.030234218810193815,4
2020-03-02,2020-03-03,8760.07,2020-03-04,2020-03-05,9054.68,1,294.6100000000006,0.03363100979786693,0.033077855335579505,3
2020-03-05,2020-03-06,9131.88,2020-03-06,2020-03-07,8886.66,1,-245.21999999999935,-0.026853178096952535,-0.027220312082118024,2
2020-03-08,2020-03-09,7929.87,2020-03-12,2020-03-13,5578.6,1,-2351.2699999999995,-0.2965080133722242,-0.35169879321356906,5
2020-03-14,2020-03-15,5361.3,2020-04-01,2020-04-02,6794.09,1,1432.79,0.2672467498554454,0.23684663364455924,19
2020-04-05,2020-04-06,7329.9,2020-04-09,2020-04-10,6858.92,1,-470.97999999999956,-0.06425462830325102,-0.06641187829933214,5
2020-04-16,2020-04-17,7027.55,2020-04-17,2020-04-18,7248.6,1,221.05000000000018,0.03145477442351896,0.030970208092469646,2
2020-04-20,2020-04-21,6841.37,2020-04-21,2020-04-22,7125.14,1,283.77000000000044,0.04147853427018289,0.0406413711082043,2
2020-04-24,2020-04-25,7538.67,2020-04-27,2020-04-28,7738.98,1,200.3099999999995,0.026570999924389715,0.02622412208384301,4
2020-04-28,2020-04-29,8778.57,2020-05-17,2020-05-18,9733.93,1,955.3600000000006,0.10882865888179971,0.10330419587435,20
2020-05-18,2020-05-19,9775.53,2020-05-23,2020-05-24,8720.34,1,-1055.1900000000005,-0.10794197347867585,-0.11422409636397644,6
2020-05-24,2020-05-25,8900.35,2020-05-27,2020-05-28,9575.89,1,675.539999999999,0.07590038593987858,0.07315787933118434,4
2020-05-29,2020-05-30,9697.72,2020-05-31,2020-06-01,10200.77,1,503.0500000000011,0.0518730175752653,0.05057240130306146,3
2020-06-01,2020-06-02,9518.04,2020-06-03,2020-06-04,9789.06,1,271.0199999999986,0.028474349761085094,0.02807649033569558,3
2020-06-11,2020-06-12,9465.13,2020-06-12,2020-06-13,9473.34,1,8.210000000000946,0.0008673943199934975,0.0008670183509335627,2
2020-06-15,2020-06-16,9525.59,2020-06-16,2020-06-17,9465.14,1,-60.45000000000073,-0.006346063603409391,-0.006366285463241823,2
2020-06-24,2020-06-25,9249.49,2020-06-25,2020-06-26,9162.21,1,-87.28000000000065,-0.009436195941614156,-0.009480998907668087,2
2020-06-26,2020-06-27,9012.0,2020-06-27,2020-06-28,9116.35,1,104.35000000000036,0.011579005770084416,0.011512482108878288,2
2020-06-28,2020-06-29,9192.56,2020-07-01,2020-07-02,9086.54,1,-106.01999999999862,-0.011533239924460537,-0.011600263567567017,4
2020-07-03,2020-07-04,9135.46,2020-07-07,2020-07-08,9436.06,1,300.60000000000036,0.032904746996867296,0.03237497581509513,5
2020-07-08,2020-07-09,9232.43,2020-07-09,2020-07-10,9288.34,1,55.909999999999854,0.006055827122436908,0.006037564295295626,2
2020-07-12,2020-07-13,9242.62,2020-07-13,2020-07-14,9255.85,1,13.229999999999563,0.0014314123051688554,0.0014303888111533642,2
2020-07-16,2020-07-17,9154.32,2020-07-18,2020-07-19,9208.99,1,54.67000000000007,0.005972043800085647,0.00595428182827764,3
2020-07-21,2020-07-22,9518.16,2020-07-24,2020-07-25,9700.42,1,182.26000000000022,0.01914865898450957,0.01896763072915289,4
